Question,Answer,Marks
Write down the generic process framework that is applicable to any software project / relationship between work product: task: activity and system.,Common process frame work - Process frame work activities - Umbrella activities - Frame work activities - Task sets,2
List the goals of software engineering?,"Satisfy user requirements , High reliability , Low maintenance cost , Delivery on time , Low production cost , High performance , Ease of reuse.",2
What is the difference between verification and validation?,"Verification refers to the set of activities that ensure that software correctly implements a specific function. Verification: ""Are we building the product right?"" Validation refers to a different set of activities that ensure that the software that has been built is traceable to customer requirements. Validation: ""Are we building the right product?""",2
For the scenario described below: which life cycle model would you choose? Give the reason why you would choose this model.,"You are interacting with the MIS department of a very large oil company with multiple departments. They have a complex regency system. Migrating the data from this legacy system is not an easy task and would take a considerable time. The oil company is very particular about processes, acceptance criteria and legal contracts. Spiral model Proactive problem prevention. Each iteration has a risk analysis, sector that evaluates. Alternatives for proactive problem avoidance.",2
Give two reasons why system engineers must understand the environment of a system?,1.The reason for the existence of a system is to make some changes i its environment. 2.The functioning of a system can be very difficult to predict.,2
What are the two types of software products?,1. Generic products: these are stand-alone systems that are produced by a development Organization and sold in the open market to any customer who wants to buy it. 2. Customized products: these are systems that are commissioned by a specific customer and developed specially by some contractor to meet a special need.,2
What is the advantage of adhering to life cycle models for software?,It helps to produce good quality software products without time and cost over runs.It encourages the development of software in a systematic & disciplined manner.,2
Is it always possible to realize win-win spiral model for software? Justify.,Must identify stake holder and their win condition - Developing buy-in to the model is important than the model itself - Eliminating the clashes between customers is important.,2
What is software process? List its activities.,"Software process is defined as the structured set of activities that are required to develop the software system. Activities � Specification, design & implementation, validation & evolution.",2
What are the various categories of software?,~ - System software - Application software - Engineering/Scientific software - Embedded software - Web Applications - Artificial Intelligence software,2
What are the umbrella activities of a software process?,? Software project tracking and control. ? Risk management. ? Software Quality Assurance. ? Formal Technical Reviews. ? Software Configuration Management. ? Work product preparation and production. ? Reusability management. ? Measurement,2
What are the merits of incremental model?,"i. The incremental model can be adopted when tere are less number of people involved in the project. ii. Technical risks can be managed with each increment. iii. For a very small time span,at least core product can be delivered to the customer.",2
List the task regions in the Spiral model.,"? Customer communication � In this region it is suggested to establish customer communication. ? Planning � All planning activities are carried out in order to define resources timeline and otherproject related activities. ? Risk analysis � The tasks required to calculate technical and management risks. ? Engineering � In this the task region,tasks required to build one or more representations of applications are carried out. ? Construct and release � All the necessary tasks required to construct,test,install the applications are conducted. �_Customer evaluation � Customer? s feedback is obtained and based on the customer evaluation required tasks are performed and implemented at installation stage.",4
Characteristics of software contrast to characteristics of hardware?,"Software is easier to change than hardware. The cost of change is much higher for hardware than for software. Software products evolve through multiple releases by adding new features and rewriting existing logic to support the new features. Hardware products consist of physical components that cannot be �refactored� after manufacturing, and cannot add new capabilities that require hardware changes. Specialized hardware components can have much longer lead times for acquisition than is true for software. Hardware design is driven by architectural decisions. More of the architectural work must be done up front compared to software products. The cost of development for software products is relatively flat over time. However, the cost of hardware development rises rapidly towards the end of the development cycle. Testing software commonly requires developing thousands of test cases. Hardware testing involves far fewer tests. Hardware must be designed and tested to work over a range of time and environmental conditions, which is not the case for software.",4
List the process maturity levels in SEIs CMM.,"Level 1:Initial� Few processes are defined and individual efforts are taken. Level 2:Repeatable� To track cost schedule and functionality basic project management processes are established. Level 3:Defined� The process is standardized, documented and followed. Level 4:Managed� Both the software process and product are quantitatively understood and controlled using detailed measures",4
